PROVINCE,DISTRICT
Central,Dodoma
Central,Kondoa
Central,Kongwa
Central,Manyoni
Central,Mpwapwa
Central,Singida
Eastern,Bagamoyo
Eastern,Kilosa
Eastern,Kisarawe
Eastern,Morogoro
Eastern,Rufiji
Eastern,Ulanga
Lake Province,Biharamulo
Lake Province,Bukoba
Lake Province,Geita
Lake Province,Kwimba
Lake Province,Maswa
Lake Province,Musoma
Lake Province,Mwanza
Lake Province,Ngara
Lake Province,North Mara
Lake Province,Shinyanga
Lake Province,Ukerewe
Northern,Arusha
Northern,Masai
Northern,Mbulu
Northern,Moshi
Southern,Kilwa
Southern,Lindi
Southern,Masasi
Southern,Mikindani
Southern,Newala
Southern,Ruponda
Southern,Songea
Southern,Tunduru
Southern Highlands,Chunya
Southern Highlands,Iringa
Southern Highlands,Mbeya
Southern Highlands,Njombe
Southern Highlands,Rungwe
Tanga,Handeni
Tanga,Lushoto
Tanga,Pangani
Tanga,Pare
Tanga,Tanga
Western,Kahama
Western,Kasulu
Western,Kibondo
Western,Kigoma
Western,Lake Tanganyika
Western,Mpanda
Western,Nzega
Western,Tabora
Western,Ufipa
